EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2015,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,463,230,233,9,4,5,15,7,8,153,85,68
Bank of Montreal,2015,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Professionals,Full-Time,2,1,1,1,,1,,,,,,
Bank of Montreal,2012,National,Canada,5221,Depository Credit Intermediation,Senior Managers,Full-Time,7,4,3,,,,,,,1,1,
Bank of Montreal,2012,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,502,278,224,11,3,8,13,8,5,155,98,57
Bank of Montreal,2012,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,Full-Time,6,4,2,,,,,,,,,
Bank of Montreal,2014,Provincial,Manitoba,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,12,5,7,,,,1,,1,2,1,1
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Senior Managers,Full-Time,10,7,3,,,,,,,4,2,2
Bank of Montreal,2017,Provincial,Nova Scotia,,,Overall,Full-Time,21,13,8,,,,,,,4,2,2
Bank of Montreal,2011,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,203,68,135,2,,2,2,1,1,49,12,37
Bank of Montreal,2015,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,2,1,1,,,,,,,,,
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2018,Provincial,Qu�bec,,,Overall,Full-Time,684,356,328,2,1,1,13,3,10,277,142,135
Bank of Montreal,2017,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,9,3,6,,,,,,,2,1,1
Bank of Montreal,2013,Provincial,Ontario,5221,Depository Credit Intermediation,Senior Managers,Full-Time,6,5,1,,,,,,,3,2,1
Bank of Montreal,2013,Provincial,New Brunswick,,,Overall,Full-Time,14,5,9,,,,2,1,1,,,
Bank of Montreal,2019,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,1,1,,,,,,,,,,
Bank of Montreal,2016,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Part-Time,12,7,5,1,,1,,,,4,4,
Bank of Montreal,2018,Provincial,Ontario,,,Overall,Part-Time,859,278,581,8,4,4,20,5,15,322,114,208
Bank of Montreal,2018,Provincial,Manitoba,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,3,1,2,,,,,,,1,,1
Bank of Montreal,2010,Provincial,Alberta,,,Overall,Part-Time,77,12,65,4,1,3,2,,2,17,5,12
Bank of Montreal,2012,Provincial,Qu�bec,,,Overall,Part-Time,241,80,161,5,1,4,2,,2,51,25,26
