EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2016,Provincial,British Columbia,5221,Depository Credit Intermediation,Senior Managers,Full-Time,2,2,,,,,1,1,,,,
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,76,41,35,1,,1,3,3,,20,12,8
Bank of Montreal,2017,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Part-Time,10,5,5,,,,,,,4,2,2
Bank of Montreal,2015,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Part-Time,18,7,11,,,,,,,5,3,2
Bank of Montreal,2016,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,3,,3,,,,,,,,,
Bank of Montreal,2011,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,4,,4,,,,,,,,,
Bank of Montreal,2017,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,15,7,8,,,,,,,4,1,3
Bank of Montreal,2017,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Professionals,Full-Time,8,7,1,,,,,,,1,1,
Bank of Montreal,2018,National,Canada,5221,Depository Credit Intermediation,Supervisors,Full-Time,64,24,40,3,,3,1,1,,31,15,16
Bank of Montreal,2018,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,2,,2,,,,,,,,,
Bank of Montreal,2010,Provincial,Manitoba,,,Overall,Full-Time,30,11,19,1,1,,1,,1,3,1,2
Bank of Montreal,2010,Provincial,Saskatchewan,,,Overall,Full-Time,48,11,37,3,,3,3,,3,5,2,3
Bank of Montreal,2015,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,6,,6,,,,,,,2,,2
Bank of Montreal,2017,Provincial,Alberta,,,Overall,Part-Time,126,31,95,7,,7,3,,3,45,12,33
Bank of Montreal,2018,Provincial,Qu�bec,,,Overall,Part-Time,209,61,148,2,,2,6,2,4,53,22,31
Bank of Montreal,2019,Provincial,Ontario,,,Overall,Full-Time,2076,1057,1019,13,3,10,96,39,57,990,532,458
Bank of Montreal,2010,Provincial,Alberta,,,Overall,Full-Time,281,89,192,7,,7,6,3,3,69,19,50
Bank of Montreal,2010,Provincial,Newfoundland and Labrador,,,Overall,Part-Time,11,,11,,,,,,,,,
Bank of Montreal,2015,Provincial,New Brunswick,,,Overall,Part-Time,9,1,8,,,,,,,1,,1
Bank of Montreal,2016,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,18,7,11,,,,1,,1,6,3,3
Bank of Montreal,2013,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,4,,4,,,,,,,,,
Bank of Montreal,2014,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,Full-Time,6,6,,,,,,,,1,1,
Bank of Montreal,2017,Provincial,Ontario,,,Overall,Part-Time,413,122,291,7,,7,23,11,12,125,50,75
