EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,QUARTERID,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT,SALARYRANGEBOTTOM($),SALARYRANGETOP($)
Bank of Montreal,2015,Full-Time,Provincial,New Brunswick,5221,Depository Credit Intermediation,Professionals,1,10,5,5,,,,,,,2,1,1,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2015,Part-Time,CMA,Halifax,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,3,7,1,6,,,,,,,,,,"Under $5,000","$ 25,000 - $29,999"
Bank of Montreal,2017,Full-Time,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,3,24,9,15,,,,,,,6,4,2,"$ 20,000 - $24,999","$ 95,000 - $99,999"
Bank of Montreal,2017,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Other Sales and Service Personnel,2,,,,,,,,,,,,,"$ 50,000 - $54,999","$100,000 and over"
Bank of Montreal,2017,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,1,69,28,41,1,,1,1,1,,40,19,21,"Under $5,000","$100,000 and over"
Bank of Montreal,2017,Part-Time,National,Canada,5221,Depository Credit Intermediation,Professionals,2,30,4,26,1,1,,1,,1,4,,4,"$  5,000 - $ 9,999","$100,000 and over"
Bank of Montreal,2017,Part-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,1,1,,1,,,,,,,1,,1,"$ 35,000 - $39,999","$ 35,000 - $39,999"
Bank of Montreal,2017,Part-Time,Provincial,Manitoba,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,4,5,,5,,,,,,,,,,"$  5,000 - $ 9,999","$ 35,000 - $39,999"
Bank of Montreal,2017,Part-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Professionals,1,1,1,,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2019,Full-Time,CMA,Halifax,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,4,2,2,,,,,,,,,,,"Under $5,000","$100,000 and over"
Bank of Montreal,2019,Part-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Middle and Other Managers,4,1,,1,,,,,,,,,,"$ 30,000 - $34,999","$ 95,000 - $99,999"
Bank of Montreal,2010,Full-Time,CMA,Calgary,5221,Depository Credit Intermediation,Senior Managers,2,1,,1,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2010,Full-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Supervisors,2,,,,,,,,,,,,,"$ 50,000 - $54,999","$ 70,000 - $74,999"
Bank of Montreal,2010,Full-Time,CMA,Halifax,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,2,1,1,,,,,,,,,,,"$ 25,000 - $29,999","$100,000 and over"
Bank of Montreal,2010,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Middle and Other Managers,1,397,202,195,2,2,,9,7,2,29,13,16,"$ 45,000 - $49,999","$100,000 and over"
Bank of Montreal,2010,Part-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,2,,,,,,,,,,,,,"$ 30,000 - $34,999","$ 30,000 - $34,999"
Bank of Montreal,2013,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,2,734,228,506,10,1,9,17,4,13,232,97,135,"Under $5,000","$ 90,000 - $94,999"
Bank of Montreal,2013,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,3,2,2,,,,,,,,,,,"$ 30,000 - $34,999","$100,000 and over"
