EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,TOTALPROMOTIONS,TOTALMENPROMOTIONS,TOTALWOMENPROMOTIONS,TOTALABORIGALLPROMOTIONS,TOTALABORIGMENPROMOTIONS,TOTALABORIGWOMENPROMOTIONS,TOTALPWDALLPROMOTIONS,TOTALPWDMENPROMOTIONS,TOTALPWDWOMENPROMOTIONS,TOTALVISMINALLPROMOTIONS,TOTALVISMINMENPROMOTIONS,TOTALVISMINWOMENPROMOTIONS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2015,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2012,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,769,426,343,6,3,3,19,13,6,379,215,164
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Supervisors,Part-Time,,,,,,,,,,,,,3,1,2,,,,,,,1,,1
Bank of Montreal,2011,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,103,53,50,1,1,,2,1,1,21,12,9
Bank of Montreal,2013,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,36,15,21,2,,2,2,,2,1,1,
Bank of Montreal,2015,Provincial,Manitoba,5221,Depository Credit Intermediation,Overall,Part-Time,1,,1,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2017,Provincial,Ontario,5221,Depository Credit Intermediation,Overall,Part-Time,47,8,39,,,,,,,14,2,12,46,8,38,,,,,,,14,2,12
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,65,33,32,,,,2,2,,43,22,21
Bank of Montreal,2011,Provincial,Qu�bec,5221,Depository Credit Intermediation,Overall,Full-Time,1107,459,648,9,3,6,9,2,7,294,137,157,953,395,558,9,3,6,9,2,7,246,117,129
Bank of Montreal,2015,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,97,55,42,,,,2,2,,22,15,7
Bank of Montreal,2018,Provincial,Alberta,5221,Depository Credit Intermediation,Overall,Part-Time,218,38,180,6,,6,7,,7,77,17,60,206,35,171,6,,6,7,,7,72,15,57
