EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,TOTALPROMOTIONS,TOTALMENPROMOTIONS,TOTALWOMENPROMOTIONS,TOTALABORIGALLPROMOTIONS,TOTALABORIGMENPROMOTIONS,TOTALABORIGWOMENPROMOTIONS,TOTALPWDALLPROMOTIONS,TOTALPWDMENPROMOTIONS,TOTALPWDWOMENPROMOTIONS,TOTALVISMINALLPROMOTIONS,TOTALVISMINMENPROMOTIONS,TOTALVISMINWOMENPROMOTIONS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,12,2,10,,,,1,,1,7,2,5
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Supervisors,Part-Time,,,,,,,,,,,,,3,,3,,,,,,,1,,1
Bank of Montreal,2013,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Overall,Full-Time,64,24,40,3,,3,3,,3,1,1,,58,21,37,3,,3,2,,2,1,1,
Bank of Montreal,2013,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
Bank of Montreal,2017,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2010,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,22,3,19,2,,2,,,,2,1,1
Bank of Montreal,2014,Provincial,Manitoba,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,18,6,12,,,,1,,1,5,,5
Bank of Montreal,2018,Provincial,Manitoba,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,20,10,10,1,1,,1,,1,3,3,
Bank of Montreal,2019,Provincial,New Brunswick,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,15,2,13,,,,3,1,2,1,,1
Bank of Montreal,2015,Provincial,British Columbia,5221,Depository Credit Intermediation,Overall,Full-Time,380,148,232,9,1,8,10,2,8,180,71,109,352,140,212,8,1,7,10,2,8,171,69,102
Bank of Montreal,2013,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2018,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,34,5,29,2,,2,2,,2,7,2,5
Bank of Montreal,2012,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,4,1,3,1,,1,,,,2,1,1
Bank of Montreal,2012,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Overall,Part-Time,1,,1,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,15,5,10,,,,1,,1,3,2,1
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,6,2,4,,,,,,,1,,1
Bank of Montreal,2013,National,Canada,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,615,324,291,5,2,3,19,13,6,266,151,115
Bank of Montreal,2018,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,14,4,10,,,,,,,4,1,3
Bank of Montreal,2010,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Overall,Part-Time,5,2,3,1,,1,,,,2,2,,5,2,3,1,,1,,,,2,2,
Bank of Montreal,2010,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,1,1,,,,
Bank of Montreal,2012,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Overall,Part-Time,4,,4,1,,1,,,,,,,4,,4,1,,1,,,,,,
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,209,55,154,6,,6,3,,3,79,27,52
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,3,,3,,,,,,,2,,2
Bank of Montreal,2011,Provincial,New Brunswick,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,3,,3,,,,,,,,,
Bank of Montreal,2011,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,22,11,11,,,,1,1,,3,1,2
Bank of Montreal,2011,Provincial,Alberta,5221,Depository Credit Intermediation,Overall,Part-Time,17,1,16,,,,,,,5,,5,16,1,15,,,,,,,5,,5
Bank of Montreal,2017,Provincial,Qu�bec,5221,Depository Credit Intermediation,Overall,Part-Time,38,10,28,,,,2,1,1,7,2,5,35,10,25,,,,2,1,1,7,2,5
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,159,41,118,2,,2,8,2,6,38,12,26
Bank of Montreal,2018,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,16,3,13,,,,,,,8,2,6
Bank of Montreal,2018,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,9,5,4,,,,1,,1,,,
Bank of Montreal,2012,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,20,5,15,1,,1,1,,1,6,1,5
Bank of Montreal,2012,Provincial,New Brunswick,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,4,,4,,,,1,,1,,,
Bank of Montreal,2013,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,81,20,61,2,2,,,,,34,14,20
Bank of Montreal,2017,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,21,9,12,,,,,,,1,1,
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,68,35,33,1,,1,2,,2,28,14,14
Bank of Montreal,2016,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,234,92,142,2,1,1,6,1,5,48,21,27
Bank of Montreal,2011,Provincial,New Brunswick,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,16,6,10,1,,1,,,,1,1,
Bank of Montreal,2013,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,10,1,9,,,,1,,1,5,1,4
Bank of Montreal,2015,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,17,3,14,,,,,,,7,,7
Bank of Montreal,2017,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,3,1,2,1,,1,1,,1,,,
Bank of Montreal,2012,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,14,5,9,,,,1,1,,3,2,1
Bank of Montreal,2013,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,28,5,23,,,,1,,1,7,2,5
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,180,78,102,,,,4,,4,92,48,44
Bank of Montreal,2018,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,43,19,24,1,1,,4,2,2,23,10,13
Bank of Montreal,2018,Provincial,Alberta,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2012,Provincial,New Brunswick,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,2,2,,,,,,,,,,
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Overall,Full-Time,2621,1154,1467,27,7,20,69,36,33,1187,570,617,2476,1093,1383,26,6,20,66,35,31,1124,547,577
Bank of Montreal,2016,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Overall,Part-Time,1,,1,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2013,Provincial,New Brunswick,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,5,2,3,,,,,,,1,1,
Bank of Montreal,2018,Provincial,Alberta,5221,Depository Credit Intermediation,Overall,Full-Time,285,99,186,6,2,4,9,3,6,106,39,67,235,81,154,6,2,4,8,2,6,90,34,56
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Overall,Part-Time,96,8,88,1,,1,3,,3,24,3,21,90,8,82,1,,1,3,,3,22,3,19
Bank of Montreal,2010,Provincial,Manitoba,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,6,1,5,,,,,,,2,,2
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Overall,Full-Time,4131,1732,2399,52,9,43,109,42,67,1627,756,871,3888,1633,2255,48,8,40,104,41,63,1539,720,819
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,2,,2,,,,,,,2,,2
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,73,30,43,,,,1,,1,37,14,23
Bank of Montreal,2019,Provincial,New Brunswick,5221,Depository Credit Intermediation,Overall,Full-Time,22,3,19,,,,3,1,2,1,,1,18,2,16,,,,3,1,2,1,,1
Bank of Montreal,2011,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Overall,Part-Time,3,1,2,,,,,,,,,,3,1,2,,,,,,,,,
Bank of Montreal,2011,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,8,,8,,,,,,,1,,1
Bank of Montreal,2018,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,2,,2,,,,1,,1,,,
Bank of Montreal,2019,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,117,44,73,1,,1,3,1,2,47,21,26
Bank of Montreal,2011,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Part-Time,,,,,,,,,,,,,2,,2,,,,,,,,,
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1501,703,798,21,10,11,46,17,29,575,304,271
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,21,10,11,,,,1,,1,7,4,3
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,4,,4,,,,,,,,,
Bank of Montreal,2014,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,142,51,91,2,1,1,3,1,2,45,21,24
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,3,1,2,,,,,,,1,1,
Bank of Montreal,2015,Provincial,New Brunswick,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,18,7,11,1,,1,1,,1,3,2,1
Bank of Montreal,2018,Provincial,Manitoba,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,41,10,31,3,1,2,2,2,,19,7,12
Bank of Montreal,2018,Provincial,British Columbia,5221,Depository Credit Intermediation,Overall,Part-Time,300,65,235,17,2,15,18,3,15,110,31,79,280,59,221,13,1,12,18,3,15,104,29,75
Bank of Montreal,2016,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,2,,2,,,,,,,1,,1
Bank of Montreal,2019,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Overall,Full-Time,4031,1757,2274,51,22,29,81,42,39,1873,894,979,3636,1586,2050,47,19,28,77,40,37,1703,813,890
Bank of Montreal,2013,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Overall,Full-Time,57,19,38,4,1,3,,,,16,6,10,55,18,37,4,1,3,,,,15,5,10
Bank of Montreal,2013,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,132,58,74,3,3,,3,1,2,43,27,16
Bank of Montreal,2015,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,125,37,88,5,,5,6,2,4,60,20,40
Bank of Montreal,2016,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Overall,Full-Time,65,25,40,3,1,2,1,,1,25,14,11,59,24,35,2,1,1,1,,1,23,13,10
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,146,28,118,1,,1,3,2,1,38,7,31
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,2,,2,,,,,,,1,,1
Bank of Montreal,2013,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,22,3,19,3,,3,1,,1,10,2,8
Bank of Montreal,2015,National,Canada,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,7,4,3,,,,,,,2,1,1
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,13,1,12,,,,,,,6,1,5
Bank of Montreal,2015,Provincial,Alberta,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,4,,4,,,,,,,2,,2
Bank of Montreal,2014,National,Canada,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,2,1,1,,,,,,,,,
Bank of Montreal,2019,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2018,National,Canada,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,976,493,483,9,4,5,28,10,18,432,228,204
Bank of Montreal,2018,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,2,,2,,,,,,,1,,1
Bank of Montreal,2011,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,107,27,80,,,,1,,1,24,5,19
Bank of Montreal,2018,National,Canada,5221,Depository Credit Intermediation,Overall,Part-Time,1842,418,1424,62,9,53,88,15,73,541,164,377,1747,390,1357,56,8,48,83,13,70,514,155,359
Bank of Montreal,2014,Provincial,Manitoba,5221,Depository Credit Intermediation,Overall,Full-Time,33,10,23,2,,2,1,,1,7,1,6,31,10,21,1,,1,1,,1,7,1,6
Bank of Montreal,2011,Provincial,Qu�bec,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,306,164,142,2,1,1,1,,1,89,56,33
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Overall,Part-Time,46,15,31,,,,3,2,1,19,9,10,46,15,31,,,,3,2,1,19,9,10
Bank of Montreal,2013,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,4,4,,,,,,,,,,
Bank of Montreal,2017,Provincial,Qu�bec,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,7,2,5,,,,,,,1,1,
Bank of Montreal,2017,Provincial,British Columbia,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,9,5,4,,,,1,,1,2,2,
Bank of Montreal,2012,National,Canada,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,70,18,52,1,,1,,,,29,4,25
Bank of Montreal,2019,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2018,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,9,3,6,3,1,2,,,,1,,1
Bank of Montreal,2010,Provincial,New Brunswick,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,14,2,12,3,,3,1,,1,2,,2
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,33,6,27,,,,,,,12,3,9
Bank of Montreal,2017,Provincial,Ontario,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,,,,,,,,,,,,,8,3,5,,,,,,,5,2,3
Bank of Montreal,2012,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,140,68,72,1,1,,2,2,,45,27,18
Bank of Montreal,2014,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2011,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,44,17,27,,,,1,,1,7,3,4
Bank of Montreal,2011,Provincial,Manitoba,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,21,5,16,1,,1,1,,1,5,2,3
Bank of Montreal,2015,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,3,,3,,,,,,,2,,2
Bank of Montreal,2017,Provincial,Qu�bec,5221,Depository Credit Intermediation,Overall,Full-Time,706,348,358,6,2,4,14,5,9,206,108,98,664,322,342,6,2,4,14,5,9,197,102,95
Bank of Montreal,2019,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,1814,762,1052,16,6,10,65,19,46,668,314,354
Bank of Montreal,2013,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,355,111,244,6,,6,12,6,6,149,50,99
Bank of Montreal,2012,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Senior Managers,Full-Time,,,,,,,,,,,,,1,1,,,,,,,,,,
Bank of Montreal,2016,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,17,4,13,1,,1,,,,6,,6
Bank of Montreal,2013,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Part-Time,,,,,,,,,,,,,1,1,,,,,,,,1,1,
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,4,,4,,,,,,,4,,4
Bank of Montreal,2019,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,3,1,2,,,,,,,2,1,1
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,72,12,60,1,,1,6,1,5,11,1,10
Bank of Montreal,2017,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,2,2,,,,,1,1,,1,1,
Bank of Montreal,2017,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,12,3,9,,,,1,,1,4,1,3
Bank of Montreal,2017,Provincial,New Brunswick,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,4,1,3,,,,,,,,,
Bank of Montreal,2018,National,Canada,5221,Depository Credit Intermediation,Overall,Full-Time,4480,1900,2580,59,17,42,154,46,108,1718,834,884,3911,1678,2233,52,14,38,137,38,99,1530,751,779
Bank of Montreal,2018,Provincial,Manitoba,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,11,2,9,,,,1,,1,2,1,1
Bank of Montreal,2012,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,36,6,30,1,,1,,,,13,1,12
Bank of Montreal,2014,Provincial,British Columbia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,,,,,,,,,,,,,16,1,15,1,,1,1,,1,3,,3
Bank of Montreal,2013,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,107,44,63,2,,2,2,2,,36,15,21
Bank of Montreal,2015,Provincial,Alberta,5221,Depository Credit Intermediation,Overall,Full-Time,296,95,201,6,2,4,4,,4,91,35,56,279,88,191,6,2,4,4,,4,85,33,52
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Supervisors,Part-Time,,,,,,,,,,,,,3,,3,,,,,,,3,,3
Bank of Montreal,2017,Provincial,Ontario,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,273,94,179,3,,3,7,3,4,110,44,66
Bank of Montreal,2016,Provincial,New Brunswick,5221,Depository Credit Intermediation,Overall,Full-Time,36,12,24,,,,3,,3,7,4,3,33,10,23,,,,3,,3,4,2,2
Bank of Montreal,2015,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,6,4,2,1,1,,,,,2,2,
Bank of Montreal,2017,Provincial,New Brunswick,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,8,3,5,,,,,,,2,1,1
Bank of Montreal,2017,Provincial,British Columbia,5221,Depository Credit Intermediation,Supervisors,Full-Time,,,,,,,,,,,,,7,2,5,,,,1,,1,3,2,1
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Overall,Part-Time,131,33,98,4,1,3,6,2,4,41,15,26,129,32,97,4,1,3,6,2,4,41,15,26
Bank of Montreal,2011,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,14,7,7,,,,2,1,1,1,1,
Bank of Montreal,2013,Provincial,Manitoba,5221,Depository Credit Intermediation,Overall,Part-Time,1,,1,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2015,Provincial,Qu�bec,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,10,4,6,,,,,,,5,2,3
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,768,397,371,5,2,3,18,6,12,373,203,170
Bank of Montreal,2018,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,4,,4,,,,1,,1,2,,2
Bank of Montreal,2012,Provincial,New Brunswick,5221,Depository Credit Intermediation,Overall,Full-Time,31,11,20,,,,1,,1,1,,1,29,10,19,,,,1,,1,1,,1
Bank of Montreal,2012,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,10,,10,,,,,,,4,,4
Bank of Montreal,2016,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,5,1,4,1,,1,,,,,,
Bank of Montreal,2013,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,7,1,6,1,,1,,,,1,1,
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Overall,Full-Time,4051,1882,2169,46,16,30,114,46,68,1696,857,839,3821,1776,2045,45,15,30,108,44,64,1609,817,792
Bank of Montreal,2017,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Professionals,Full-Time,,,,,,,,,,,,,7,4,3,,,,,,,2,2,
Bank of Montreal,2018,Provincial,Manitoba,5221,Depository Credit Intermediation,Overall,Full-Time,61,23,38,5,2,3,2,,2,14,9,5,50,17,33,5,2,3,2,,2,10,6,4
Bank of Montreal,2012,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,9,1,8,,,,1,,1,,,
Bank of Montreal,2019,Provincial,British Columbia,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,7,2,5,,,,,,,4,1,3
Bank of Montreal,2017,Provincial,British Columbia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2013,Provincial,Alberta,5221,Depository Credit Intermediation,Overall,Part-Time,23,4,19,,,,2,,2,5,,5,20,3,17,,,,2,,2,5,,5
Bank of Montreal,2015,Provincial,Alberta,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,,,,,,,,,,,,,5,,5,,,,,,,1,,1
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,,,,,,,,,,,,,24,4,20,,,,,,,7,1,6
Bank of Montreal,2012,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,,,,,,,,,,,,,1,,1,,,,,,,,,
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,,,,,,,,,,,,,145,52,93,,,,9,4,5,86,29,57
Bank of Montreal,2019,Provincial,New Brunswick,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,3,,3,,,,,,,,,
Bank of Montreal,2019,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Part-Time,,,,,,,,,,,,,5,1,4,1,,1,,,,1,1,
Bank of Montreal,2013,Provincial,Manitoba,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,,,,,,,,,,,,,16,6,10,,,,,,,4,1,3
Bank of Montreal,2015,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,,,,,,,,,,,,,9,1,8,2,,2,,,,1,,1
